"name","lat","lng"
"Harbour Town - Docklands Dve - Docklands",-37.814022,144.939521
"State Library - Swanston St / Little Lonsdale St - City",-37.810702,144.964417
"Yarra's Point - Lorimer St / Yarra River - Docklands",-37.823805,144.943051
"Argyle Square - Lygon St - Carlton",-37.802129,144.96677
"Parliament Station - Nicholson St / Albert St - City",-37.809072,144.972762
"Yarra's Edge - River Esp / Yarra River - Docklands",-37.824468,144.946033
"Southern Cross Station - Spencer St - City",-37.818124,144.953581
"Museum - Rathdowne St - Carlton",-37.803868,144.969609
"RACV - Bourke St / New Chancery Ln - City",-37.81523,144.959731
"Bourke Street Mall - 205 Bourke St - City",-37.813088,144.967437
"NAB - Harbour Esp / Bourke St - Docklands",-37.818306,144.945923
"North Melbourne Station - Adderley St - North Melbourne",-37.807021,144.941854
"Queensbridge St / Yarra River - Southbank",-37.821071,144.961113
"Siddeley St / Seafarers Bridge - Docklands",-37.823124,144.951918
"Aquarium - Kings Way / Flinders St - City",-37.821324,144.958318
"Richmond Station - Brunton Ave - East Melbourne",-37.822962,144.988507
"Rod Laver Arena - Batman Ave / Swan St - City",-37.822987,144.978459
"Spring St / Collins St - City",-37.813774,144.974054
"VCAM - St Kilda Rd / Southbank Blvd - Southbank",-37.824088,144.970085
"Jolimont Station - Wellington Pde South - East Melbourne",-37.816731,144.982006
"ACCA - Sturt St - Southbank",-37.826578,144.966542
"ANZ - Collins St - Docklands",-37.821568,144.944488
"Flagstaff Gardens - Peel St - West Melbourne",-37.809216,144.955223
"Arts Centre - St Kilda Road - City",-37.820715594013,144.969164729118
"Melbourne Uni - Tin Alley - Carlton",-37.79625,144.960858
"RMIT - Swanston St / Franklin St - City",-37.807699,144.963095
"St Paul's Cathedral - Swanston St / Flinders St - City",-37.817189,144.967409
"Vic Barracks - Coventry St / St Kilda Rd - Southbank",-37.828887,144.970822
"Sandridge Bridge - Southbank",-37.820836,144.962266
"New Quay Prom / Harbour Esp - Docklands",-37.814117,144.944081
"University Square - Grattan St - Carlton",-37.800214,144.960313
"Victoria Market - Elizabeth St / Victoria St - City",-37.806091,144.959017
