"name","lat","lng"
"Cemetery Rd/College Cres (Parkville)",-37.79199,144.96119
"Rathdowne St/Princes St (Carlton)",-37.792625,144.970814
"Nicholson St/Princes St (Carlton)",-37.793139,144.975002
"Carlton Baths/Rathdowne St (Carlton)",-37.793813,144.971259
"Princes St/Rathdowne St (Carlton)",-37.792937,144.971169
"Wellington Pde/Hoddle St (East Melbourne)",-37.817112,144.989865
"West Richmond Railway Station/Hoddle St (East Melbourne)",-37.814956,144.990264
"Grey St/Hoddle St (East Melbourne)",-37.812423,144.990742
"Victoria Pde/Hoddle St (East Melbourne)",-37.810482,144.991067
"Cromwell St/Victoria Pde (East Melbourne)",-37.80993,144.989321
"Clarendon St/Victoria Pde (East Melbourne)",-37.809234,144.982922
"Eye & Ear Hospital/Victoria Pde (East Melbourne)",-37.808605,144.977215
"Lygon St/Cemetery Rd (Carlton)",-37.792914,144.967706
"Lygon St/Elgin St (Carlton)",-37.797298,144.967972
"Faraday St/Lygon St (Carlton)",-37.798936,144.967337
"Mercy Health Aged Care/William St (Parkville)",-37.77618,144.939758
"Auckland Lane/Cade Way (Parkville)",-37.77815,144.939022
"Parkville Ave/Garrard St (Parkville)",-37.779163,144.941321
"Royal Melb Hosp Royal Park/Poplar Rd (Parkville)",-37.779041,144.94674
"Royal Park Station/Poplar Rd (Parkville)",-37.780654,144.950851
"Melbourne Zoo/Poplar Rd (Parkville)",-37.783309,144.954775
"Princes Park/Royal Pde (Parkville)",-37.785405,144.959793
"Princes Park/Royal Pde (Parkville)",-37.784979,144.959101
"Melbourne Zoo/Poplar Rd (Parkville)",-37.783573,144.954949
"Royal Park Station/Poplar Rd (Parkville)",-37.780615,144.950694
"Royal Melb Hosp Royal Park/Poplar Rd (Parkville)",-37.779093,144.946569
"Parkville Ave/Garrard St (Parkville)",-37.778948,144.94085
"Auckland Lane/Cade Way (Parkville)",-37.778416,144.939287
"Mercy Health Aged Care/William St (Parkville)",-37.77617,144.939678
"Melrose St/Canning St (North Melbourne)",-37.795613,144.940989
"Dryburgh St/Shiel St (North Melbourne)",-37.797802,144.944063
"Abbotsford St/Haines St (North Melbourne)",-37.798294,144.945923
"Curzon St/Haines St (North Melbourne)",-37.7986,144.948459
"Morrah St/Royal Pde (Parkville)",-37.795529,144.95789
"The Avenue/Royal Pde (Parkville)",-37.791823,144.958322
