census_year,block_id,property_id,base_property_id,building_address,clue_small_area,business_address,trading_name,industry_anzsic4_code,industry_anzsic4_description,seating_type,number_of_seats,longitude,latitude,customer_rate
2012,14,103166,103166,7-9 Elizabeth Street MELBOURNE 3000,Melbourne (CBD),7A Elizabeth Street MELBOURNE 3000,Pepperoni's,4511,Cafes and Restaurants,Seats - Indoor,70,144.96455,-37.81793,3.7
2021,753,110606,110380,Southgate 3 Southgate Avenue SOUTHBANK VIC 3006,Southbank,Restaurant 3 Upper Lvl 3 Southgate Avenue SOUTHBANK VIC 3006,Bluetrain,4511,Cafes and Restaurants,Seats - Outdoor,80,144.9663,-37.82072,4
2013,31,102109,102109,612-624 Collins Street MELBOURNE 3000,Melbourne (CBD),Ground  618A Collins Street MELBOURNE 3000,Minx Coffee Bar,4511,Cafes and Restaurants,Seats - Outdoor,4,144.95435,-37.81868,4.2
2012,24,110765,110765,302-308 Flinders Lane MELBOURNE 3000,Melbourne (CBD),10 Flinders Lane MELBOURNE 3000,Bistro Du Monde,4511,Cafes and Restaurants,Seats - Outdoor,20,144.96391,-37.81719,3.6
2019,377,103814,103814,47-59 Flemington Road NORTH MELBOURNE 3051,North Melbourne,Lot  Ground  55 Flemington Road NORTH MELBOURNE 3051,Flavour Cafe,4511,Cafes and Restaurants,Seats - Indoor,72,144.95432,-37.79973,4
2017,55,101193,101193,338-352 Bourke Street MELBOURNE 3000,Melbourne (CBD),338-352 Bourke Street MELBOURNE 3000,Gekkazan,4511,Cafes and Restaurants,Seats - Indoor,10,144.96329,-37.8136,3.7
2009,113,110679,108118,Peel Street MELBOURNE 3000,Melbourne (CBD),Stall 25  Peel Street MELBOURNE 3000,Pizza @ QV,4511,Cafes and Restaurants,Seats - Indoor,4,144.95695,-37.80762,4.2
2017,801,110327,110327,6 Riverside Quay SOUTHBANK 3006,Southbank,Part Ground  6 Riverside Quay SOUTHBANK 3006,Ludlow Bar & Dining Room,4511,Cafes and Restaurants,Seats - Outdoor,100,144.96383,-37.82083,3.8
2014,46,109413,109413,146 Swanston Street MELBOURNE 3000,Melbourne (CBD),Ground  146 Swanston Street MELBOURNE 3000,Pie Face 146 Swanston St,4511,Cafes and Restaurants,Seats - Outdoor,12,144.9662,-37.81418,4.2
2003,4,104034,104034,207-361 Flinders Street MELBOURNE 3000,Melbourne (CBD),Store 73 0-0 Flinders Street MELBOURNE 3000,Coffee HQ,4511,Cafes and Restaurants,Seats - Indoor,32,144.96451,-37.82033,3.9
2020,205,512713,512713,Kathleen Syme Library and Community Centre 249-263 Faraday Street CARLTON VIC 3053,Carlton,Part 251 Faraday Street CARLTON VIC 3053,Wild Timor Coffee Carlton Pty Ltd,4511,Cafes and Restaurants,Seats - Indoor,17,144.96526,-37.79872,4.2
2008,753,110606,110380,3 Southgate Avenue SOUTHBANK 3006,Southbank,Restaurant 2 Upper Lvl  3 Southgate Avenue SOUTHBANK 3006,Miyako,4511,Cafes and Restaurants,Seats - Indoor,80,144.9663,-37.82072,4
2005,34,102132,102132,376-390 Collins Street MELBOURNE 3000,Melbourne (CBD),Ground  376 Collins Street MELBOURNE 3000,Bellini,4511,Cafes and Restaurants,Seats - Indoor,200,144.9604,-37.81793,4.3
2013,360,109835,109835,284 Victoria Street NORTH MELBOURNE 3051,North Melbourne,284 Victoria Street NORTH MELBOURNE 3051,Kari Leaf,4511,Cafes and Restaurants,Seats - Indoor,50,144.9569,-37.80575,4.1
2019,83,703207,110142,280-0 William Street MELBOURNE 3000,Melbourne (CBD),Rear 280-0 William Street MELBOURNE 3000,Grounds of Arcadia,4511,Cafes and Restaurants,Seats - Outdoor,250,144.95736,-37.81209,3.4
2015,33,105937,105937,435-443 Little Collins Street MELBOURNE 3000,Melbourne (CBD),23 Little Collins Street MELBOURNE 3000,Syracuse Restaurant - Bar,4511,Cafes and Restaurants,Seats - Outdoor,20,144.9601,-37.8164,4.3
2017,807,108054,108054,40-56 Queens Bridge Street SOUTHBANK 3006,Southbank,Part Ground  40-56 Queens Bridge Street SOUTHBANK 3006,Mesh/Tonic Bar,4511,Cafes and Restaurants,Seats - Outdoor,16,144.96002,-37.82398,4.1
2021,655,580629,580629,239-293 Wellington Parade South EAST MELBOURNE VIC 3002,East Melbourne,291 Wellington Parade South EAST MELBOURNE VIC 3002,Mugs Alley,4511,Cafes and Restaurants,Seats - Outdoor,16,144.97594,-37.81647,4.1
2014,240,104466,104466,153-163 Barry Street CARLTON 3053,Carlton,Ground  161 Barry Street CARLTON 3053,Baretto Cafe,4511,Cafes and Restaurants,Seats - Indoor,120,144.95928,-37.80023,4.4
2002,620,109649,109649,352-358 Victoria Parade EAST MELBOURNE 3002,East Melbourne,356 Victoria Parade EAST MELBOURNE 3002,Selby's Restaurant,4511,Cafes and Restaurants,Seats - Indoor,40,144.98207,-37.81108,3.5
2019,710,108625,108625,407B-407D St Kilda Road MELBOURNE VIC 3004,Melbourne (Remainder),407C-407D St Kilda Road MELBOURNE VIC 3004,Cafe Rosco,4511,Cafes and Restaurants,Seats - Indoor,88,144.97619,-37.83627,4
2014,262,107875,107875,261-263 Queensberry Street CARLTON 3053,Carlton,Ground  261-263 Queensberry Street CARLTON 3053,QB's Cafe,4511,Cafes and Restaurants,Seats - Outdoor,12,144.95993,-37.80441,4
2009,23,102095,102095,401-403 Collins Street MELBOURNE 3000,Melbourne (CBD),Ground  401 Collins Street MELBOURNE 3000,Morgans at 401,4511,Cafes and Restaurants,Seats - Indoor,80,144.96122,-37.81739,4.4
2013,804,623559,110484,2 Convention Centre Place SOUTH WHARF 3006,Southbank,11 Convention Centre Place SOUTH WHARF 3006,Citizen Cafe,4511,Cafes and Restaurants,Seats - Indoor,29,144.95232,-37.82543,3.6
2021,861,102505,102505,179-181 Domain Road SOUTH YARRA VIC 3141,South Yarra,181 Domain Road SOUTH YARRA VIC 3141,Domain Brasserie,4511,Cafes and Restaurants,Seats - Outdoor,24,144.98204,-37.83431,3.4
2016,58,103621,103621,174-192 Exhibition Street MELBOURNE 3000,Melbourne (CBD),Part Ground  174-192 Exhibition Street MELBOURNE 3000,Locanda Italian Steakhouse,4511,Cafes and Restaurants,Seats - Outdoor,34,144.96932,-37.81287,4.1
2016,65,105698,105698,269-321 Lonsdale Street MELBOURNE 3000,Melbourne (CBD),287 Lonsdale Street MELBOURNE 3000,1000 Wat,4511,Cafes and Restaurants,Seats - Indoor,59,144.96233,-37.81412,3.7
2008,86,109388,109388,304-328 Swanston Street MELBOURNE 3000,Melbourne (CBD),Shop  304-328 Swanston Street MELBOURNE 3000,Mr Tulk Cafe,4511,Cafes and Restaurants,Seats - Indoor,70,144.9653,-37.80977,4.1
