"Place","Distance","Theme","Count"
"St Francis Church","Within 500m","Place of Worship",3
"St Francis Church","Within 500m","Public and Institutional Facilities",11
"St Francis Church","Within 500m","Retail",2
"St Francis Church","500m - 1km","Leisure and Recreation",6
"St Francis Church","500m - 1km","Place Of Assembly",13
"St Francis Church","500m - 1km","Place of Worship",8
"St Francis Church","500m - 1km","Public and Institutional Facilities",8
"St Francis Church","500m - 1km","Retail",1
"St Francis Church","1km - 5km","Health Services",11
"St Francis Church","1km - 5km","Leisure and Recreation",58
"St Francis Church","1km - 5km","Place Of Assembly",27
"St Francis Church","1km - 5km","Place of Worship",20
"St Francis Church","1km - 5km","Public and Institutional Facilities",35
"St Francis Church","1km - 5km","Retail",1
"St Francis Church","5km - 10km","Leisure and Recreation",3
"St James Church","Within 500m","Leisure and Recreation",1
"St James Church","Within 500m","Place Of Assembly",1
"St James Church","Within 500m","Place of Worship",1
"St James Church","Within 500m","Public and Institutional Facilities",2
"St James Church","500m - 1km","Leisure and Recreation",3
"St James Church","500m - 1km","Place of Worship",5
"St James Church","500m - 1km","Public and Institutional Facilities",5
"St James Church","500m - 1km","Retail",1
"St James Church","1km - 5km","Health Services",11
"St James Church","1km - 5km","Leisure and Recreation",63
"St James Church","1km - 5km","Place Of Assembly",39
"St James Church","1km - 5km","Place of Worship",25
"St James Church","1km - 5km","Public and Institutional Facilities",46
"St James Church","1km - 5km","Retail",3
"St James Church","5km - 10km","Public and Institutional Facilities",1
"St Mary's Anglican Church","Within 500m","Health Services",2
"St Mary's Anglican Church","Within 500m","Place of Worship",1
"St Mary's Anglican Church","Within 500m","Public and Institutional Facilities",1
"St Mary's Anglican Church","500m - 1km","Health Services",1
"St Mary's Anglican Church","500m - 1km","Leisure and Recreation",5
"St Mary's Anglican Church","500m - 1km","Place of Worship",3
"St Mary's Anglican Church","500m - 1km","Public and Institutional Facilities",4
"St Mary's Anglican Church","500m - 1km","Retail",1
"St Mary's Anglican Church","1km - 5km","Health Services",7
"St Mary's Anglican Church","1km - 5km","Leisure and Recreation",61
"St Mary's Anglican Church","1km - 5km","Place Of Assembly",40
"St Mary's Anglican Church","1km - 5km","Place of Worship",26
"St Mary's Anglican Church","1km - 5km","Public and Institutional Facilities",48
"St Mary's Anglican Church","1km - 5km","Retail",3
"St Mary's Anglican Church","5km - 10km","Health Services",1
"St Mary's Anglican Church","5km - 10km","Leisure and Recreation",1
"St Mary's Anglican Church","5km - 10km","Place of Worship",1
"St Mary's Anglican Church","5km - 10km","Public and Institutional Facilities",1
"Scots Church","Within 500m","Leisure and Recreation",1
"Scots Church","Within 500m","Place Of Assembly",8
"Scots Church","Within 500m","Place of Worship",5
"Scots Church","Within 500m","Public and Institutional Facilities",7
"Scots Church","Within 500m","Retail",2
"Scots Church","500m - 1km","Health Services",2
"Scots Church","500m - 1km","Leisure and Recreation",11
"Scots Church","500m - 1km","Place Of Assembly",11
"Scots Church","500m - 1km","Place of Worship",8
"Scots Church","500m - 1km","Public and Institutional Facilities",16
"Scots Church","1km - 5km","Health Services",9
"Scots Church","1km - 5km","Leisure and Recreation",50
"Scots Church","1km - 5km","Place Of Assembly",21
"Scots Church","1km - 5km","Place of Worship",18
"Scots Church","1km - 5km","Public and Institutional Facilities",31
"Scots Church","1km - 5km","Retail",2
"Scots Church","5km - 10km","Leisure and Recreation",5
"St Michael's Uniting Church","Within 500m","Leisure and Recreation",2
"St Michael's Uniting Church","Within 500m","Place Of Assembly",10
"St Michael's Uniting Church","Within 500m","Place of Worship",5
"St Michael's Uniting Church","Within 500m","Public and Institutional Facilities",7
"St Michael's Uniting Church","Within 500m","Retail",2
"St Michael's Uniting Church","500m - 1km","Health Services",2
"St Michael's Uniting Church","500m - 1km","Leisure and Recreation",10
"St Michael's Uniting Church","500m - 1km","Place Of Assembly",9
"St Michael's Uniting Church","500m - 1km","Place of Worship",8
"St Michael's Uniting Church","500m - 1km","Public and Institutional Facilities",14
"St Michael's Uniting Church","1km - 5km","Health Services",9
"St Michael's Uniting Church","1km - 5km","Leisure and Recreation",49
"St Michael's Uniting Church","1km - 5km","Place Of Assembly",21
"St Michael's Uniting Church","1km - 5km","Place of Worship",18
"St Michael's Uniting Church","1km - 5km","Public and Institutional Facilities",33
"St Michael's Uniting Church","1km - 5km","Retail",2
"St Michael's Uniting Church","5km - 10km","Leisure and Recreation",6
"Greek Orthodox Church","Within 500m","Health Services",3
"Greek Orthodox Church","Within 500m","Leisure and Recreation",1
"Greek Orthodox Church","Within 500m","Place Of Assembly",2
"Greek Orthodox Church","Within 500m","Place of Worship",5
"Greek Orthodox Church","Within 500m","Public and Institutional Facilities",2
"Greek Orthodox Church","500m - 1km","Health Services",2
"Greek Orthodox Church","500m - 1km","Leisure and Recreation",5
"Greek Orthodox Church","500m - 1km","Place Of Assembly",9
"Greek Orthodox Church","500m - 1km","Place of Worship",3
"Greek Orthodox Church","500m - 1km","Public and Institutional Facilities",3
"Greek Orthodox Church","1km - 5km","Health Services",6
"Greek Orthodox Church","1km - 5km","Leisure and Recreation",55
"Greek Orthodox Church","1km - 5km","Place Of Assembly",29
"Greek Orthodox Church","1km - 5km","Place of Worship",23
"Greek Orthodox Church","1km - 5km","Public and Institutional Facilities",49
"Greek Orthodox Church","1km - 5km","Retail",4
"Greek Orthodox Church","5km - 10km","Leisure and Recreation",6
"North Melbourne Uniting","Within 500m","Place of Worship",1
"North Melbourne Uniting","500m - 1km","Health Services",2
"North Melbourne Uniting","500m - 1km","Leisure and Recreation",3
"North Melbourne Uniting","500m - 1km","Place of Worship",3
"North Melbourne Uniting","500m - 1km","Public and Institutional Facilities",4
"North Melbourne Uniting","500m - 1km","Retail",1
"North Melbourne Uniting","1km - 5km","Health Services",8
"North Melbourne Uniting","1km - 5km","Leisure and Recreation",63
"North Melbourne Uniting","1km - 5km","Place Of Assembly",40
"North Melbourne Uniting","1km - 5km","Place of Worship",25
"North Melbourne Uniting","1km - 5km","Public and Institutional Facilities",49
"North Melbourne Uniting","1km - 5km","Retail",3
"North Melbourne Uniting","5km - 10km","Health Services",1
"North Melbourne Uniting","5km - 10km","Leisure and Recreation",1
"North Melbourne Uniting","5km - 10km","Place of Worship",2
"North Melbourne Uniting","5km - 10km","Public and Institutional Facilities",1
"South Yarra Presbyterian Church","Within 500m","Leisure and Recreation",1
"South Yarra Presbyterian Church","Within 500m","Place of Worship",2
"South Yarra Presbyterian Church","500m - 1km","Health Services",1
"South Yarra Presbyterian Church","500m - 1km","Place Of Assembly",1
"South Yarra Presbyterian Church","500m - 1km","Place of Worship",1
"South Yarra Presbyterian Church","500m - 1km","Public and Institutional Facilities",1
"South Yarra Presbyterian Church","1km - 5km","Health Services",6
"South Yarra Presbyterian Church","1km - 5km","Leisure and Recreation",43
"South Yarra Presbyterian Church","1km - 5km","Place Of Assembly",37
"South Yarra Presbyterian Church","1km - 5km","Place of Worship",20
"South Yarra Presbyterian Church","1km - 5km","Public and Institutional Facilities",43
"South Yarra Presbyterian Church","1km - 5km","Retail",3
"South Yarra Presbyterian Church","5km - 10km","Health Services",4
"South Yarra Presbyterian Church","5km - 10km","Leisure and Recreation",23
"South Yarra Presbyterian Church","5km - 10km","Place Of Assembly",2
"South Yarra Presbyterian Church","5km - 10km","Place of Worship",8
"South Yarra Presbyterian Church","5km - 10km","Public and Institutional Facilities",10
"South Yarra Presbyterian Church","5km - 10km","Retail",1
"East Melbourne Synagogue","Within 500m","Health Services",2
"East Melbourne Synagogue","Within 500m","Leisure and Recreation",2
"East Melbourne Synagogue","Within 500m","Place Of Assembly",5
"East Melbourne Synagogue","Within 500m","Place of Worship",5
"East Melbourne Synagogue","Within 500m","Public and Institutional Facilities",4
"East Melbourne Synagogue","500m - 1km","Health Services",3
"East Melbourne Synagogue","500m - 1km","Leisure and Recreation",6
"East Melbourne Synagogue","500m - 1km","Place Of Assembly",11
"East Melbourne Synagogue","500m - 1km","Place of Worship",9
"East Melbourne Synagogue","500m - 1km","Public and Institutional Facilities",7
"East Melbourne Synagogue","500m - 1km","Retail",1
"East Melbourne Synagogue","1km - 5km","Health Services",6
"East Melbourne Synagogue","1km - 5km","Leisure and Recreation",53
"East Melbourne Synagogue","1km - 5km","Place Of Assembly",24
"East Melbourne Synagogue","1km - 5km","Place of Worship",17
"East Melbourne Synagogue","1km - 5km","Public and Institutional Facilities",43
"East Melbourne Synagogue","1km - 5km","Retail",3
