"name","lng","lat"
"Flagstaff",144.956447,-37.811827
"Flemington Bridge",144.939322,-37.788137
"Jolimont",144.983878,-37.8165
"Flemington Racecourse",144.907196,-37.787586
"Showgrounds",144.914982,-37.783552
"Flinders Street",144.966997,-37.818321
"Kensington",144.930467,-37.793486
"Macaulay",144.936113,-37.794576
"North Melbourne",144.941831,-37.806735
"Royal Park",144.951868,-37.781183
"South Kensington",144.92532,-37.79959
"Southern Cross",144.952193,-37.818354
"Melbourne Central",144.963757,-37.8097
"Parliament",144.973408,-37.811929
