"lat","lng","name"
-37.797113,144.967159,"112-Lygon St/Elgin St (Carlton)"
-37.794127,144.968025,"113-Lytton St/Lygon St (Carlton)"
-37.792689,144.968269,"114-Princes St/Lygon St (Carlton North)"
-37.78958,144.968797,"115-Melbourne Cemetery/Lygon St (Carlton North)"
-37.78737,144.969186,"116-Fenwick St/Lygon St (Carlton North)"
-37.845278,144.982225,"26-Alfred Hospital/Commercial Rd (South Yarra)"
-37.84563,144.984863,"27-Punt Rd/Commercial Rd (South Yarra)"
-37.782668,144.916675,"32-Sandown Rd/Epsom Rd (Ascot Vale)"
-37.784425,144.918204,"31-Racing Victoria/400 Epsom Rd (Flemington)"
-37.785913,144.919786,"30-Flemington Racecourse/Epsom Rd (Flemington)"
-37.787446,144.921889,"29-Flemington Racecourse/Racecourse Rd (Flemington)"
-37.787741,144.925345,"28-Smithfield Rd/Racecourse Rd (Flemington)"
-37.788074,144.92839,"26-Newmarket Plaza/Racecourse Rd (Kensington)"
-37.788507,144.933522,"24-Collett St/Racecourse Rd (Kensington)"
-37.788749,144.93548,"23-Stubbs St/Racecourse Rd (Flemington)"
-37.789209,144.940145,"22-Boundary Rd/Racecourse Rd (North Melbourne)"
-37.793729,144.947163,"19-Abbotsford St Interchange/Abbotsford St (North Melbourne)"
-37.795246,144.946803,"18-Erskine St/Abbotsford St (North Melbourne)"
-37.796719,144.946535,"17-Canning St/Abbotsford St (North Melbourne)"
-37.797968,144.946319,"16-Haines St/Abbotsford St (North Melbourne)"
-37.800672,144.945835,"15-Arden St/Abbotsford St (North Melbourne)"
-37.802663,144.945802,"14-Abbotsford St/Queensberry St (North Melbourne)"
-37.791414,144.949294,"23-Royal Park/Royal Park (Parkville)"
-37.787878,144.949619,"24-Elliott Ave/Royal Park (Parkville)"
-37.784383,144.94867,"25-State Netball Hockey Centre/Royal Park (Parkville)"
-37.782375,144.949282,"26-Melbourne Zoo/Royal Park (Parkville)"
-37.780872,144.950925,"27-Royal Park Station/Royal Park (Parkville)"
-37.776917,144.94949,"28-Park St/Royal Park (Parkville)"
-37.83819,144.984565,"124-Walsh St/Toorak Rd (South Yarra)"
-37.850564,144.984047,"28-Punt Rd/High St (Prahran)"
-37.779379,144.959936,"18-Princes Park/Royal Pde (Parkville)"
-37.781888,144.95964,"17-Ievers St/Royal Pde (Parkville)"
-37.784856,144.959274,"16-Visy Park/Royal Pde (Parkville)"
-37.787931,144.958894,"15-Leonard St/Royal Pde (Parkville)"
-37.790017,144.958644,"14-Macarthur Rd/Royal Pde (Parkville)"
-37.792679,144.95831,"13-Gatehouse St/Royal Pde (Parkville)"
-37.795656,144.957944,"12-Morrah St/Royal Pde (Parkville)"
-37.779383,144.960152,"18-Princes Park/Royal Pde (Parkville)"
-37.798273,144.957656,"11-University of Melbourne/Royal Pde (Parkville)"
-37.781684,144.959838,"17-Ievers St/Royal Pde (Parkville)"
-37.784589,144.959509,"16-Walker St/Royal Pde (Parkville)"
-37.787674,144.959129,"15-Leonard St/Royal Pde (Parkville)"
-37.789715,144.958879,"14-Cemetery Road West/Royal Pde (Parkville)"
-37.792422,144.958544,"13-Gatehouse St/Royal Pde (Parkville)"
