"label","name","lat","lng"
"Bike Share Dock","Harbour Town - Docklands Dve - Docklands",-37.814022,144.939521
"Bike Share Dock","State Library - Swanston St / Little Lonsdale St - City",-37.810702,144.964417
"Bike Share Dock","Yarra's Point - Lorimer St / Yarra River - Docklands",-37.823805,144.943051
"Bike Share Dock","Argyle Square - Lygon St - Carlton",-37.802129,144.96677
"Bike Share Dock","Parliament Station - Nicholson St / Albert St - City",-37.809072,144.972762
"Bike Share Dock","Yarra's Edge - River Esp / Yarra River - Docklands",-37.824468,144.946033
"Bike Share Dock","Southern Cross Station - Spencer St - City",-37.818124,144.953581
"Bike Share Dock","Museum - Rathdowne St - Carlton",-37.803868,144.969609
"Bike Share Dock","RACV - Bourke St / New Chancery Ln - City",-37.81523,144.959731
"Bike Share Dock","Bourke Street Mall - 205 Bourke St - City",-37.813088,144.967437
"Bike Share Dock","NAB - Harbour Esp / Bourke St - Docklands",-37.818306,144.945923
"Bike Share Dock","North Melbourne Station - Adderley St - North Melbourne",-37.807021,144.941854
"Bike Share Dock","Queensbridge St / Yarra River - Southbank",-37.821071,144.961113
"Bike Share Dock","Siddeley St / Seafarers Bridge - Docklands",-37.823124,144.951918
"Bike Share Dock","Aquarium - Kings Way / Flinders St - City",-37.821324,144.958318
"Bike Share Dock","Richmond Station - Brunton Ave - East Melbourne",-37.822962,144.988507
"Bike Share Dock","Rod Laver Arena - Batman Ave / Swan St - City",-37.822987,144.978459
"Bike Share Dock","Spring St / Collins St - City",-37.813774,144.974054
"Bike Share Dock","VCAM - St Kilda Rd / Southbank Blvd - Southbank",-37.824088,144.970085
"Bike Share Dock","Jolimont Station - Wellington Pde South - East Melbourne",-37.816731,144.982006
"Bike Share Dock","ACCA - Sturt St - Southbank",-37.826578,144.966542
"Bike Share Dock","ANZ - Collins St - Docklands",-37.821568,144.944488
"Bike Share Dock","Flagstaff Gardens - Peel St - West Melbourne",-37.809216,144.955223
"Bike Share Dock","Arts Centre - St Kilda Road - City",-37.820715594013,144.969164729118
"Bike Share Dock","Melbourne Uni - Tin Alley - Carlton",-37.79625,144.960858
"Bike Share Dock","RMIT - Swanston St / Franklin St - City",-37.807699,144.963095
"Bike Share Dock","St Paul's Cathedral - Swanston St / Flinders St - City",-37.817189,144.967409
"Bike Share Dock","Vic Barracks - Coventry St / St Kilda Rd - Southbank",-37.828887,144.970822
"Bike Share Dock","Sandridge Bridge - Southbank",-37.820836,144.962266
"Bike Share Dock","New Quay Prom / Harbour Esp - Docklands",-37.814117,144.944081
"Bike Share Dock","University Square - Grattan St - Carlton",-37.800214,144.960313
"Bike Share Dock","Victoria Market - Elizabeth St / Victoria St - City",-37.806091,144.959017
"Bus Stop","Cemetery Rd/College Cres (Parkville)",-37.79199,144.96119
"Bus Stop","Rathdowne St/Princes St (Carlton)",-37.792625,144.970814
"Bus Stop","Nicholson St/Princes St (Carlton)",-37.793139,144.975002
"Bus Stop","Carlton Baths/Rathdowne St (Carlton)",-37.793813,144.971259
"Bus Stop","Princes St/Rathdowne St (Carlton)",-37.792937,144.971169
"Bus Stop","Wellington Pde/Hoddle St (East Melbourne)",-37.817112,144.989865
"Bus Stop","West Richmond Railway Station/Hoddle St (East Melbourne)",-37.814956,144.990264
"Bus Stop","Grey St/Hoddle St (East Melbourne)",-37.812423,144.990742
"Bus Stop","Victoria Pde/Hoddle St (East Melbourne)",-37.810482,144.991067
"Bus Stop","Cromwell St/Victoria Pde (East Melbourne)",-37.80993,144.989321
"Bus Stop","Clarendon St/Victoria Pde (East Melbourne)",-37.809234,144.982922
"Bus Stop","Eye & Ear Hospital/Victoria Pde (East Melbourne)",-37.808605,144.977215
"Bus Stop","Lygon St/Cemetery Rd (Carlton)",-37.792914,144.967706
"Bus Stop","Lygon St/Elgin St (Carlton)",-37.797298,144.967972
"Bus Stop","Faraday St/Lygon St (Carlton)",-37.798936,144.967337
"Bus Stop","Mercy Health Aged Care/William St (Parkville)",-37.77618,144.939758
"Bus Stop","Auckland Lane/Cade Way (Parkville)",-37.77815,144.939022
"Bus Stop","Parkville Ave/Garrard St (Parkville)",-37.779163,144.941321
"Bus Stop","Royal Melb Hosp Royal Park/Poplar Rd (Parkville)",-37.779041,144.94674
"Bus Stop","Royal Park Station/Poplar Rd (Parkville)",-37.780654,144.950851
"Bus Stop","Melbourne Zoo/Poplar Rd (Parkville)",-37.783309,144.954775
"Bus Stop","Princes Park/Royal Pde (Parkville)",-37.785405,144.959793
"Bus Stop","Princes Park/Royal Pde (Parkville)",-37.784979,144.959101
"Bus Stop","Melbourne Zoo/Poplar Rd (Parkville)",-37.783573,144.954949
"Bus Stop","Royal Park Station/Poplar Rd (Parkville)",-37.780615,144.950694
"Bus Stop","Royal Melb Hosp Royal Park/Poplar Rd (Parkville)",-37.779093,144.946569
"Bus Stop","Parkville Ave/Garrard St (Parkville)",-37.778948,144.94085
"Bus Stop","Auckland Lane/Cade Way (Parkville)",-37.778416,144.939287
"Bus Stop","Mercy Health Aged Care/William St (Parkville)",-37.77617,144.939678
"Bus Stop","Melrose St/Canning St (North Melbourne)",-37.795613,144.940989
"Bus Stop","Dryburgh St/Shiel St (North Melbourne)",-37.797802,144.944063
"Bus Stop","Abbotsford St/Haines St (North Melbourne)",-37.798294,144.945923
"Bus Stop","Curzon St/Haines St (North Melbourne)",-37.7986,144.948459
"Bus Stop","Morrah St/Royal Pde (Parkville)",-37.795529,144.95789
"Bus Stop","The Avenue/Royal Pde (Parkville)",-37.791823,144.958322
"Bus Stop","Trinity College/Royal Pde (Parkville)",-37.795778,144.958236
"Bus Stop","Boundary Rd/Canning St (North Melbourne)",-37.79551,144.939243
"Bus Stop","Melrose St/Canning St (North Melbourne)",-37.795817,144.941302
